"borough","business","stars","plus_code","address","latitude","longitude"
"Morrisons Pharm","Morrisons Pharmacy",3.5,"HPV7+8M","Honeypot Ln, London NW9 6R",NA,NA
"Collins Pharmacy and Travel Cli","Collins Pharmacy and Travel Clinic",3.4,"HPW4+53","9 Queensbury Circle Parade, Stanmore HA7 1E",NA,NA
"Jade Pharmacy Alper","Jade Pharmacy Alperton",4.4,"GPR2+MR","282 Ealing Rd, Wembley HA0 4L",NA,NA
"Dubison Pharm","Dubison Pharmacy",4.4,"GQW2+W5","168 Church Rd, London NW10 9N",NA,NA
"Karepack Pharmacy - London (Wembl","Karepack Pharmacy - London (Wembley)",4.5,"HP72+R8","Osram Rd, 11 East Ln, Wembley HA9 7N",NA,NA
"Wellcare Pharm","Wellcare Pharmacy",4.7,"HPPC+6V","Alpha House, 552 Kingsbury Rd, London NW9 9H",NA,NA
"Tesco Petrol Stat","Tesco Petrol Station",4.1,"HP3R+RG","Tesco Stores Ltd, Great Central Way, London NW10 0T",NA,NA
"Alpha Pharm","Alpha Pharmacy",4.2,"HPPX+V9","193 Edgware Rd, London NW9 6L",NA,NA
"The Harrow Pharm","The Harrow Pharmacy",3.9,"HMP9+Q3","73 Station Rd, Harrow HA1 2T",NA,NA
"Paster Pharm","Paster Pharmacy",3.9,"HPC4+96","212 Preston Rd, Wembley HA9 8P",NA,NA
"Well Pharm","Well Pharmacy",3.6,"HPFQ+G2","Kingsbury, 175 Church Ln, London NW9 8J",NA,NA
"Shivakem Pharm","Shivakem Pharmacy",5,"HM6J+V5","Shivakem Pharmacy, 12A Court Parade, North Wembley, Wembley HA0 3H",NA,NA
"Crystal Pharm","Crystal Pharmacy",3.8,"HM2V+2J","116 Chaplin Rd, Wembley HA0 4U",NA,NA
"Rushton Pharmacy Harrow - Travel Clinic & Vaccination Cli","Rushton Pharmacy Harrow - Travel Clinic & Vaccination Clinic",4.7,"HPF4+33","277 Preston Rd, Harrow HA3 0P",NA,NA
"Optipharm Pharmacy & Optici","Optipharm Pharmacy & Opticians",2.7,"HP7C+MQ","29 Bridge Rd, Wembley Park, Wembley HA9 9A",NA,NA
"CK Pharm","CK Pharmacy",4.6,"HM4M+6J","820 Harrow Rd, Wembley HA0 3E",NA,NA
"ASDA Pharm","ASDA Pharmacy",3.2,"GPHH+FW","20 Western Rd, London NW10 7L",NA,NA
"Serena Pharm","Serena Pharmacy",5,"GPQX+HH","7, Library Parade, Craven Park Rd, London NW10 8S",NA,NA
"Serena Pharm","Serena Pharmacy",5,"GPQX+HH","7, Library Parade, Craven Park Rd, London NW10 8S",NA,NA
"Monks Chem","Monks Chemist",4.3,"GPWG+Q5","70 Harrow Rd, Wembley HA9 6P",NA,NA
"Rightcare Pharm","Rightcare Pharmacy",5,"GQP4+VP","29 Park Parade, London NW10 4J",NA,NA
"Sudbury Court Pharm","Sudbury Court Pharmacy",4.9,"HM8H+M9","221 Watford Rd, Harrow HA1 3U",NA,NA
"Pharmaelite Pharm","Pharmaelite Pharmacy",5,"HM7X+6R","Courtenay House, 10 Courtenay Rd, Wembley HA9 7N",NA,NA
"G Lowe Pharm","G Lowe Pharmacy",4,"HM7V+2R","203 East Ln, Wembley HA0 3N",NA,NA
"RJ<U+2019>s Pharm","RJ<U+2019>s Pharmacy",4.1,"GPV3+Q5","210 Ealing Rd, Wembley HA0 4Q",NA,NA
"Watmans Pharm","Watmans Pharmacy",3.7,"GMRM+29","Hillview Surgery, 179 Bilton Rd, Perivale, Greenford UB6 7H",NA,NA
"Andres Pharm","Andres Pharmacy",4.4,"HPC4+W3","261 Preston Rd, Harrow HA3 0P",NA,NA
"Wellcare Pharm","Wellcare Pharmacy",3.5,"GVX5+XG","321 Kentish Town Rd, London NW5 2T",NA,NA
"The Brent Pharm","The Brent Pharmacy",4.2,"C6RJ+QH","15 The Brent, Dartford DA1 1Y",NA,NA
"Brent Pharm","Brent Pharmacy",4.8,"FMMV+C4","214 High St, Brentford TW8 8A",NA,NA
"K L Pharm","K L Pharmacy",3.4,"HMWP+8V","229 Kenton Ln, Harrow HA3 8R",NA,NA
"BRIGHT HEALTH PHARM","BRIGHT HEALTH PHARMACY",4.7,"HM26+98","1318 Greenford Rd, Greenford UB6 0H",NA,NA
"Anytime Pharm","Anytime Pharmacy",1,"HM6J+V5","12A Court Parade, North Wembley, Wembley HA0 3H",NA,NA
"Niks Pharm","Niks Pharmacy",3.4,"GPR2+MR","282 Ealing Rd, Wembley HA0 4L",NA,NA
"Tesco Ex","Tesco Extra",3.9,"HP3V+JW","Tesco Stores Ltd, Great Central Way, London NW10 0T",NA,NA
"Medic","Medico2u",5,"medico2u.co.uk","medico2u.co.u",NA,NA
"Ealing Pharmacy & Travel Cli","Ealing Pharmacy & Travel Clinic",3.2,"GMGP+CM","157 Pitshanger Ln, London W5 1R",NA,NA
"Overton & Pickup Pharm","Overton & Pickup Pharmacy",2.1,"HMPV+QG","Kenton Park Parade, Kenton Rd, Harrow HA3 8D",NA,NA
"Keencare Pharmacy - Har","Keencare Pharmacy - Harrow",3.9,"HMJ7+3R","18 College Rd, Harrow HA1 1B",NA,NA
"Temple Pharmacy & Chiropody Cli","Temple Pharmacy & Chiropody Clinic",4.7,"GMGP+HQ","110 Pitshanger Ln, London W5 1Q",NA,NA
"Boots Pharm","Boots Pharmacy",5,"HP33+7V","500 High Rd, Wembley HA9 7B",NA,NA
"Asda Wembley Superst","Asda Wembley Superstore",3.7,"HP7F+WQ","Forty Ln, Wembley HA9 9E",NA,NA
"Tesco Pharm","Tesco Pharmacy",2.5,"GMMJ+GP","Hoover Bldg, Old, Western Ave, Greenford UB6 8D",NA,NA
"SmartCare Pharmacy ","SmartCare Pharmacy Ltd",4.2,NA,"020 8903 406",45.8097528,14.7425657445546
"Tesco Pharm","Tesco Pharmacy",3.8,"HMP8+GG","Station Rd, Harrow HA1 2T",NA,NA
"Day Lewis Pharmacy Kentish T","Day Lewis Pharmacy Kentish Town",3.8,"GVW5+89","126, Day Lewis, Kentish Town Rd, London NW1 9Q",NA,NA
"Stratwicks Pharm","Stratwicks Pharmacy",4.2,"HJ7W+RF","240 Northolt Rd, South Harrow, Harrow HA2 8D",NA,NA
"Local Pharmacy Onl","Local Pharmacy Online",4.6,"HV78+P2","39 Junction Rd, Archway, London N19 5Q",NA,NA
"St Johns Wood Pharm","St Johns Wood Pharmacy",3.4,"GRMH+HH","142 St John's Wood High St, London NW8 7S",NA,NA
"Boots Pharm","Boots Pharmacy",3.5,"HJ2X+HX","47a, 47B Oldfields Circus, Northolt UB5 4R",NA,NA
"Sandylight Pharmacy + Travel Clinic + Yellow Fever Cen","Sandylight Pharmacy + Travel Clinic + Yellow Fever Centre",4.2,"GRXW+QW","131 Queens Cres, London NW5 4E",NA,NA
"Sandylight Pharmacy + Travel Clinic + Yellow Fever Cen","Sandylight Pharmacy + Travel Clinic + Yellow Fever Centre",4.2,"GRXW+QW","131 Queens Cres, London NW5 4E",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",4.7,"GRWF+2P","5 Harben Parade, Finchley Rd, South Hampstead, London NW3 6J",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",1.5,"HMJ8+QM","297/301 Station Rd, Harrow HA1 2T",NA,NA
"House of Mistry Pharmacy & Travel Vaccination Clinic Hampst","House of Mistry Pharmacy & Travel Vaccination Clinic Hampstead",4.4,"HR3M+RJ","17 S End Rd, London NW3 2P",NA,NA
"Elite Pharm","Elite Pharmacy",5,"GMV3+4P","107, Stanford House, Station Approach, Oldfield Ln N, Greenford UB6 0A",NA,NA
"D H Roberts Pharm","D H Roberts Pharmacy",3.7,"HV46+PH","165 Fortess Rd, London NW5 2H",NA,NA
"Avviro Pharm","Avviro Pharmacy",5,"HJ7X+W7","Pentax House, S Hill Ave, Harrow HA2 0D",NA,NA
"Well Pharm","Well Pharmacy",2,"HV88+25","13 Junction Rd, Archway, London N19 5Q",NA,NA
"Fitzrovia Pharmacy (formerly Chel Pharma","Fitzrovia Pharmacy (formerly Chel Pharmacy)",4.4,"Amigable","173 Great Portland St, London W1W 5P",NA,NA
"Fitzrovia Pharmacy (formerly Chel Pharma","Fitzrovia Pharmacy (formerly Chel Pharmacy)",4.4,"Amigable","173 Great Portland St, London W1W 5P",NA,NA
"Fitzrovia Pharmacy (formerly Chel Pharma","Fitzrovia Pharmacy (formerly Chel Pharmacy)",4.4,"Amigable","173 Great Portland St, London W1W 5P",NA,NA
"Scotts Pharm","Scotts Pharmacy",3,"C248+C8","3 Widmore Rd, Bromley BR1 1R",NA,NA
"Caxton Pharm","Caxton Pharmacy",4.4,"C248+C8","3 Widmore Rd, Bromley BR1 1R",NA,NA
"Day Lewis Pharmacy Widm","Day Lewis Pharmacy Widmore",2.9,"C24P+65","195 Widmore Rd, Bromley BR1 2R",NA,NA
"Touchwood Pharmacy - Brom","Touchwood Pharmacy - Bromley",3.8,"C278+VQ","84A London Ln, Bromley BR1 4H",NA,NA
"Bo","Boots",4.1,"C248+7H","234, The Glades Shopping Centre, High St, Bromley BR1 1H",NA,NA
"Petts Wood Pharmacy + Travel Clinic+Covid&Flu Clin","Petts Wood Pharmacy + Travel Clinic+Covid&Flu Clinics",3.9,"93QF+C5","83 Queensway, Petts Wood, Orpington BR5 1D",NA,NA
"Scotts Pharm","Scotts Pharmacy",3.5,"C228+6W","7 High St, Bromley BR1 1L",NA,NA
"Day Lewis Pharmacy Brom","Day Lewis Pharmacy Bromley",3.3,"C2H7+37","443 Downham Way, Bromley BR1 5H",NA,NA
"Duncans Chemist -Travel Clinic Bromley - Get","Duncans Chemist -Travel Clinic Bromley - GetJab",4,"CXCX+8C","24 Bromley Hill, Bromley BR1 4J",NA,NA
"Bo","Boots",4.1,"C228+X8","81 High St, Bromley BR1 1J",NA,NA
"Superd","Superdrug",4.2,"C238+9Q","67 The Glades Shopping Centre, High St, Bromley BR1 1D",NA,NA
"Browne's Chem","Browne's Chemist",3.7,"CXFW+HM","483 Bromley Rd, Bromley BR1 4P",NA,NA
"Boots Pharm","Boots Pharmacy",3.9,"C2CC+88","125 Burnt Ash Ln, Bromley BR1 5A",NA,NA
"Day Lewis Pharmacy Down","Day Lewis Pharmacy Downham",3.3,"CXFW+VF","467 Bromley Rd, Bromley BR1 4P",NA,NA
"Day Lewis Pharmacy Ha","Day Lewis Pharmacy Hayes",2.8,"92H6+29","5 Station Approach Hayes, Hayes, Bromley BR2 7E",NA,NA
"Day Lewis Pharmacy Ha","Day Lewis Pharmacy Hayes",2.8,"92H6+29","5 Station Approach Hayes, Hayes, Bromley BR2 7E",NA,NA
"Vantage Pharm","Vantage Pharmacy",4,"CXHP+XV","108 Conisborough Cres, London SE6 2S",NA,NA
"Gordon Davie Chem","Gordon Davie Chemist",4.6,"92QX+XR","195 Southborough Ln, Bickley, Bromley BR2 8A",NA,NA
"Wallace Pring &","Wallace Pring & Co",2.3,"92RP+R7","40 Chatterton Rd, Bromley BR2 9Q",NA,NA
"Sainsbur","Sainsbury's",4,"C247+MQ","Walters Yard, Bromley BR1 1T",NA,NA
"Chislehurst Pharmacy & Travel Cli","Chislehurst Pharmacy & Travel Clinic",3.5,"C354+28","59 Chislehurst Rd, Chislehurst BR7 5N",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"Boots Pharm","Boots Pharmacy",3.3,"92G6+VG","15 Station Approach, Hayes, Bromley BR2 7E",NA,NA
"Boots Pharm","Boots Pharmacy",3.3,"92G6+VG","15 Station Approach, Hayes, Bromley BR2 7E",NA,NA
"Grove Park Pharm","Grove Park Pharmacy",4.3,"C2JC+J9","344 Baring Rd, London SE12 0D",NA,NA
"Bo","Boots",NA,"C238+HJ","40, The Glades Shopping Centre, Bromley BR1 1D",NA,NA
"Bo","Boots",NA,"C238+HJ","40, The Glades Shopping Centre, Bromley BR1 1D",NA,NA
"Catford Pharmacy (under new manageme","Catford Pharmacy (under new management)",2.2,"CXRX+28","185 Torridon Rd, London SE6 1R",NA,NA
"Boots Pharm","Boots Pharmacy",4,"C248+7H","234, The Glades Shopping Centre, High St, Bromley BR1 1H",NA,NA
"Boots Pharm","Boots Pharmacy",4,"C248+7H","234, The Glades Shopping Centre, High St, Bromley BR1 1H",NA,NA
"Akasi Pharmacy (Beckenh","Akasi Pharmacy (Beckenham)",4.4,"CX4M+Q7","Peters Chemist, 15 Bromley Rd, Beckenham BR3 5N",NA,NA
"Mangal Pharmacy Vaccination Cen","Mangal Pharmacy Vaccination Centre",4.1,"F342+7F","136A Well Hall Rd, London SE9 6S",NA,NA
"Brook Pharm","Brook Pharmacy",4.8,"C2JJ+P7","109 Chinbrook Rd, London SE12 9Q",NA,NA
"Paydens Becken","Paydens Beckenham",3,"CX48+8M","401 Croydon Rd, Beckenham BR3 3P",NA,NA
"Park Langley Pharm","Park Langley Pharmacy",4.6,"9XXJ+WJ","90 Wickham Rd, Beckenham BR3 6Q",NA,NA
"Boots Pharm","Boots Pharmacy",NA,"C228+X8","81 High St, Bromley BR1 1J",NA,NA
"Beckenham Pharmacy, 171-173 High Str","Beckenham Pharmacy, 171-173 High Street",3.4,"CX4C+G4","173 High St, Beckenham BR3 1A",NA,NA
"Green Light Pharmacy - Bromley by ","Green Light Pharmacy - Bromley by Bow",3.6,"GXFP+H2","Health Centre, 2 Hannaford Walk St Andrews, 2 Hannaford Walk, London E3 3F",NA,NA
"Harris Chemist Grove P","Harris Chemist Grove Park",4.6,"C2JC+6C","372 Baring Rd, London SE12 0E",NA,NA
"Boots Pharm","Boots Pharmacy",3.3,"93QF+96","Queensway, Petts Wood, Orpington BR5 1D",NA,NA
"Well Pharm","Well Pharmacy",2.4,"C3H4+XV","2 The Mound, William Barefoot Dr, Coldharbour Estate, London SE9 3A",NA,NA
"Kamsons Pharm","Kamsons Pharmacy",3.8,"CW7P+8Q","17 Oakfield Rd, London SE20 8Q",NA,NA
"Lakewood Pharmacy / Yellow Fever and Travel Vaccination centre / Earwax remo","Lakewood Pharmacy / Yellow Fever and Travel Vaccination centre / Earwax removal",5,"9XGJ+Q5","108 High St, West Wickham BR4 0N",NA,NA
"Westchem Pharmacy - NHS Vaccination Centre, Travel Clinic and Yellow Fever Cen","Westchem Pharmacy - NHS Vaccination Centre, Travel Clinic and Yellow Fever Centre",4.8,"9XGP+M7","89 Station Rd, West Wickham BR4 0P",NA,NA
"Westchem Pharmacy - NHS Vaccination Centre, Travel Clinic and Yellow Fever Cen","Westchem Pharmacy - NHS Vaccination Centre, Travel Clinic and Yellow Fever Centre",4.8,"9XGP+M7","89 Station Rd, West Wickham BR4 0P",NA,NA
"Cambelle Chemi","Cambelle Chemists",4,"C2M3+W4","85 Boundfield Rd, London SE6 1P",NA,NA
"Coney Hall Pharmacy -Weight Loss Clinic & Ear Wax Removal Cli","Coney Hall Pharmacy -Weight Loss Clinic & Ear Wax Removal Clinic",4.8,"9292+PH","5, Coney Hall Parade, 5 Kingsway, West Wickham BR4 9J",NA,NA
"Woodlands Pharm","Woodlands Pharmacy",4.1,"FX2V+2V","4 Edwin Hall Pl, Hither Green Ln, London SE13 6R",NA,NA
"Blackwells Chemist & Travel Cli","Blackwells Chemist & Travel Clinic",4.4,"CX37+25","Blackwells Chemist & Travel Vaccinations, 245 Croydon Rd, Beckenham BR3 3P",NA,NA
"Stevens Pharmacy & Travel Cli","Stevens Pharmacy & Travel Clinic",4.5,"C3QC+FF","379 Footscray Rd, London SE9 2D",NA,NA
"LloydsPharm","LloydsPharmacy",2.3,"9XGJ+Q5","108 High St, West Wickham BR4 0N",NA,NA
"Rushey Green Pharm","Rushey Green Pharmacy",4.1,"CXXJ+RP","The Primary Care Centre, Hawstead Rd, London SE6 4J",NA,NA
"Crofton Pharmacy & Travel Cli","Crofton Pharmacy & Travel Clinic",4.5,"93HH+MQ","1 Place Farm Ave, Orpington BR6 8D",NA,NA
"Payd","Paydens",2.5,"93QG+V7","13 Station Square, Petts Wood, Orpington BR5 1L",NA,NA
"Mottingham Pharmacy + Weight Loss Clinic + Yellow Fever & Travel Vaccine Cen","Mottingham Pharmacy + Weight Loss Clinic + Yellow Fever & Travel Vaccine Centre",4.6,"C2PV+JX","73 Mottingham Rd, London SE9 4Q",NA,NA
"Boots Pharm","Boots Pharmacy",3.7,"CWGX+G7","55 Sydenham Rd, London SE26 5E",NA,NA
"Elmers Pharmacy + Travel Cli","Elmers Pharmacy + Travel Clinic",3.5,"9XR6+MX","172 Upper Elmers End Rd, Beckenham BR3 3D",NA,NA
"Touchwood Pharm","Touchwood Pharmacy",4,"CXH6+FV","363 Sydenham Rd, London SE26 5S",NA,NA
"Touchwood Pharm","Touchwood Pharmacy",4,"CXH6+FV","363 Sydenham Rd, London SE26 5S",NA,NA
"Widdicombe Chemist + Ear Wax Removal Clinic + Travel cli","Widdicombe Chemist + Ear Wax Removal Clinic + Travel clinic",4.9,"FX2V+7H","220 Hither Green Ln, London SE13 6R",NA,NA
"Lee Pharm","Lee Pharmacy",3.8,"C2X7+H7","19 Burnt Ash Hill, London SE12 0A",NA,NA
"CityDoc In-Pharmacy Travel Clinic, Brom","CityDoc In-Pharmacy Travel Clinic, Bromley",5,"C248+C8","Caxtons Pharmacy, 3 Widmore Rd, Bromley BR1 1R",NA,NA
"Well Pharm","Well Pharmacy",4.5,"F322+2Q","27 Court Yard, London SE9 5P",NA,NA
"Fishers Chem","Fishers Chemist",4.3,"9WVM+74","1 Enmore Rd, London SE25 5N",NA,NA
"Rey Pharmacy & Travel Cli","Rey Pharmacy & Travel Clinic",3.8,"C3M7+VR","735 Sidcup Rd, London SE9 3S",NA,NA
"Pyramid Pharm","Pyramid Pharmacy",2,"92R2+XR","121 Westmoreland Rd, Bromley BR2 0T",NA,NA
"Pyramid Pharm","Pyramid Pharmacy",2,"92R2+XR","121 Westmoreland Rd, Bromley BR2 0T",NA,NA
"JP Pharm","JP Pharmacy",4,"GVQ5+36","139 Camden High St, London NW1 7J",NA,NA
"Day Lewis Pharmacy Kentish T","Day Lewis Pharmacy Kentish Town",3.8,"GVW5+89","126, Day Lewis, Kentish Town Rd, London NW1 9Q",NA,NA
"Camden Pharmacy High Str","Camden Pharmacy High Street",4.3,"GVP6+27","21 Camden High St, London NW1 7J",NA,NA
"Wellcare Pharm","Wellcare Pharmacy",3.5,"GVX5+XG","321 Kentish Town Rd, London NW5 2T",NA,NA
"Bo","Boots",4.1,"GVM6+XH","8, 10 Camden High St, London NW1 0J",NA,NA
"Bo","Boots",3.8,"GVQ4+9X","175 Camden High St, London NW1 7J",NA,NA
"Camden Pharmacy Kentish T","Camden Pharmacy Kentish Town",4.6,"GRWX+P8","23 Malden Rd, London NW5 3H",NA,NA
"Biotech Pharm","Biotech Pharmacy",4.4,"GVR6+GH","96 Camden Rd, London NW1 9E",NA,NA
"pharmacypeartre","pharmacypeartreeuk",NA,"pharmacypeartreeuk.com","pharmacypeartreeuk.co",NA,NA
"Green Light Pharmacy - Mornington Cresc","Green Light Pharmacy - Mornington Crescent",4.1,"GVM6+MJ","275 Eversholt St, London NW1 1B",NA,NA
"Clockwork Pharmacy & Travel Vaccination Cli","Clockwork Pharmacy & Travel Vaccination Clinic",4.8,"clockworkpharmacy.com","clockworkpharmacy.co",NA,NA
"Boots Pharm","Boots Pharmacy",1,"GVQ4+9X","175 Camden High St, London NW1 7J",NA,NA
"Morrisons Pharm","Morrisons Pharmacy",4.3,"GVV2+55","Chalk Farm Rd, Chalk Farm, London NW1 8E",NA,NA
"Superd","Superdrug",3.4,"GVQ4+MR","201 Camden High St, London NW1 7B",NA,NA
"Aura Pharm","Aura Pharmacy",3.6,"GVX9+QX","21 Brecknock Rd, London N7 0B",NA,NA
"Baban Pharm","Baban Pharmacy",3.1,"GVHC+P6","34 Chalton St, London NW1 1J",NA,NA
"Clarins J P Pharmacy Camden T","Clarins J P Pharmacy Camden Town",NA,"GVQ5+37","139 Camden High St, London NW1 7J",NA,NA
"Allchin Pharmacy and Travel Cli","Allchin Pharmacy and Travel Clinic",4.1,"GRWQ+F5","28 England's Ln, Belsize Park, London NW3 4U",NA,NA
"Boots Pharm","Boots Pharmacy",3.4,"GVX5+4G","196 Kentish Town Rd, London NW5 2A",NA,NA
"Wellcare Pharm","Wellcare Pharmacy",3.9,"GVW5+89","126 Kentish Town Rd, London NW1 9Q",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"Sandylight Pharmacy + Travel Clinic + Yellow Fever Cen","Sandylight Pharmacy + Travel Clinic + Yellow Fever Centre",4.2,"GRXW+QW","131 Queens Cres, London NW5 4E",NA,NA
"Primrose Pharm","Primrose Pharmacy",4,"GRRV+Q9","primrosehillpharmacy@gmail.com, 95 Regent's Park Rd, London NW1 8U",NA,NA
"Croydon Pharm","Croydon Pharmacy",3.1,"9W82+88","Pharmacy, 44 S End, Croydon CR0 1D",NA,NA
"A-Z Pharm","A-Z Pharmacy",4.6,"9VHW+GQ","20 London Rd, Croydon CR0 2T",NA,NA
"Day Lewis Pharmacy Thornton He","Day Lewis Pharmacy Thornton Heath",3.5,"9VQQ+5H","506 London Rd, Thornton Heath CR7 7H",NA,NA
"Mayday Community Pharm","Mayday Community Pharmacy",2.7,"9VQQ+6G","514 London Rd, London, Thornton Heath CR7 7H",NA,NA
"Larchwood Pharmacy and Travel Cli","Larchwood Pharmacy and Travel Clinic",4.5,"9WHG+X8","215 Lower Addiscombe Rd, Croydon CR0 6R",NA,NA
"McCoig Pharm","McCoig Pharmacy",4.8,"9W22+88","367 Brighton Rd, South Croydon CR2 6E",NA,NA
"NHS Pharm","NHS Pharmacy",NA,"9X26+WP","South Croydon CR2 8J",NA,NA
"Mona Pharmacy, Travel Clinic, Ear Wax Removal, Weight L","Mona Pharmacy, Travel Clinic, Ear Wax Removal, Weight Loss",3.6,"9XF3+X3","246 Wickham Rd, Croydon CR0 8B",NA,NA
"St Clare's Pharm","St Clare's Pharmacy",2.1,"9WF3+PF","Norfolk House, 21 George St, Croydon CR0 1L",NA,NA
"Shivas Pharmacy, Travel Clinic, Ear Wax Removal & Weight Management Cli","Shivas Pharmacy, Travel Clinic, Ear Wax Removal & Weight Management Clinic",4.7,"9VMR+CR","300 London Rd, Croydon CR0 2T",NA,NA
"Barkers Medipharm","Barkers Medipharmacy",3.9,"9VFW+G2","105 Church St, Croydon CR0 1R",NA,NA
"Asda Wallington Superst","Asda Wallington Superstore",4,"9VG9+MW","Marlowe Wy, Croydon CR0 4X",NA,NA
"Greenchem Pharm","Greenchem Pharmacy",4.8,"9WQX+96","20 Bywood Ave, Croydon CR0 7R",NA,NA
"Allcorn Chem","Allcorn Chemist",5,"9WJ4+PV","197 St James's Rd, Croydon CR0 2B",NA,NA
"Lloyds Pharm","Lloyds Pharmacy",1.4,"9VQQ+MF","Mayday House, Croydon University Hospital, 530 London Rd, Thornton Heath CR7 7Y",NA,NA
"Swan Pharm","Swan Pharmacy",2.9,"9W72+GP","119 S End, South Croydon, Croydon CR0 1B",NA,NA
"Swan Pharm","Swan Pharmacy",2.9,"9W72+GP","119 S End, South Croydon, Croydon CR0 1B",NA,NA
"Swan Pharm","Swan Pharmacy",2.9,"9W72+GP","119 S End, South Croydon, Croydon CR0 1B",NA,NA
"Osbon Pharm","Osbon Pharmacy",2.5,"9WF3+PF","Norfolk House, 21 George St, Croydon CR0 1L",NA,NA
"Lloyd George Pharm","Lloyd George Pharmacy",3.5,"9WP2+3X","65 Whitehorse Rd, Croydon CR0 2J",NA,NA
"Damson Pharm","Damson Pharmacy",5,NA,"damsonpharmacy.co",NA,NA
"Goldmantle Medipharm","Goldmantle Medipharmacy",3,"9X26+9J","2, The Forestdale Centre, Featherbed Ln, La, Croydon CR0 9A",NA,NA
"Medibank Pharm","Medibank Pharmacy",3.7,"9WMF+XV","263 Morland Rd, Croydon CR0 6H",NA,NA
"Shirley Pharm","Shirley Pharmacy",4,"9WGR+G5","175 Shirley Rd, Croydon CR0 8S",NA,NA
"Parade Medipharm","Parade Medipharmacy",3,"9VQH+6M","299A Thornton Rd, Croydon CR0 3E",NA,NA
"HealthExpr","HealthExpress",4.7,"9WH8+JG","106 Lower Addiscombe Rd, Croydon CR0 6A",NA,NA
"Lafford Chem","Lafford Chemist",4.5,"9V89+V6","8, The Broadway, Plough Ln, Beddington, Croydon CR0 4Q",NA,NA
"Lafford Chem","Lafford Chemist",4.5,"9V89+V6","8, The Broadway, Plough Ln, Beddington, Croydon CR0 4Q",NA,NA
"Croy-C","Croy-Chem",4.1,"9WJ6+5W","38 Lower Addiscombe Rd, Croydon CR0 6A",NA,NA
"The Health Coun","The Health Counter",NA,"9VGG+CP","The Health Counter, 5 Peterwood Way, Croydon CR0 4U",NA,NA
"United Pharm","United Pharmacy",4.5,"CW5R+MF","5, The Parade, Croydon Rd, London SE20 7A",NA,NA
"Aumex Pharm","Aumex Pharmacy",3.9,"8XRP+F8","Central Parade, New Addington, Croydon CR0 0J",NA,NA
"ASDA Pharm","ASDA Pharmacy",3.5,"9VG9+PW","Marlowe Wy, Croydon CR0 4X",NA,NA
"Fieldway Pharm","Fieldway Pharmacy",4.3,"9X4H+8M","3 Wayside, Fieldway, New Addington, Croydon CR0 9D",NA,NA
"Greenchem Pharm","Greenchem Pharmacy",4.3,"9X99+VW","15 Broom Rd, Croydon CR0 8N",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.9,"9VGX+GV","Unit 2, 3 & 5, Whitgift Centre, N End, Croydon CR0 1U",NA,NA
"MediSpa pharm","MediSpa pharmacy",4.4,"9W24+W9","Unit 11a, Capital Business Centre, 22 Carlton Rd, South Croydon CR2 0B",NA,NA
"Smart City Pharm","Smart City Pharmacy",4.1,"9WQ5+GQ","8 Selhurst Rd, London SE25 5Q",NA,NA
"McCoigs Medipharm","McCoigs Medipharmacy",4.3,"9WFX+VW","143 Wickham Rd, Croydon CR0 8T",NA,NA
"Harris Chemi","Harris Chemists",4.6,"9X26+WP","Crossways Parade, Selsdon Park Rd, South Croydon, Croydon CR2 8J",NA,NA
"Superd","Superdrug",3.9,"9VGX+FV","Unit 2 , 3 & 5, N End, Croydon CR0 1U",NA,NA
"Dougans Chem","Dougans Chemist",4.6,"9X3M+3F","114 Headley Dr, New Addington, Croydon CR0 0Q",NA,NA
"Makepeace & Jackson Pharm","Makepeace & Jackson Pharmacy",2.7,"8WX4+77","7, Station Parade, Sanderstead Rd, South Croydon CR2 0P",NA,NA
"Day Lewis Pharmacy Support Off","Day Lewis Pharmacy Support Office",2.6,"9VGF+HM","2 Peterwood Way, Croydon CR0 4U",NA,NA
"TT Pharm","TT Pharmacy",5,"CW4P+J7","174 Croydon Rd, London SE20 7Y",NA,NA
"Tesco Pharm","Tesco Pharmacy",2.9,"9WX2+J9","32 Brigstock Rd, Thornton Heath CR7 8R",NA,NA
"Croydon Pharmacy Fi","Croydon Pharmacy First",NA,"9WX3+98","160 Gillett Rd, Croydon CR7 8S",NA,NA
"Glory Chem","Glory Chemist",4.6,"9V6G+RX","314 Stafford Rd, Wallington, Croydon CR0 4N",NA,NA
"Fishers Chem","Fishers Chemist",4.3,"9WVM+74","1 Enmore Rd, London SE25 5N",NA,NA
"Cranston Chemist - Travel Clinic and Registered Yellow Fever Cli","Cranston Chemist - Travel Clinic and Registered Yellow Fever Clinic",4.3,"9VXM+P4","951 London Rd, Thornton Heath CR7 6J",NA,NA
"Day Lewis Pharmacy Sels","Day Lewis Pharmacy Selsdon",3.2,"8WVP+7X","150 Addington Rd, Selsdon, South Croydon CR2 8L",NA,NA
"Boots Pharm","Boots Pharmacy",5,"9VGX+FR","18 Whitgift Centre, Croydon CR9 1S",NA,NA
